,SubBasin:,30,36,39,43,
time,day,maximum,maximum,maximum,maximum,
420,2003-11-24,12.6,7.874,6,6,
421,2003-11-25,0,0.880703,1.1,1.1,
422,2003-11-26,0,0,0,0,
423,2003-11-27,6.2,8.15885,7.8,7.8,
424,2003-11-28,17,11.3206,11.5,11.5,
425,2003-11-29,1,0.598084,0,0,
426,2003-11-30,3,0,0,0,
427,2003-12-01,8.6,0.398723,0,0,
428,2003-12-02,0,0,0,0,
429,2003-12-03,0,0,0,0,
430,2003-12-04,0,0,0,0,
431,2003-12-05,0,0,0,0,
432,2003-12-06,0,0,0,0,
433,2003-12-07,0,0,0,0,
434,2003-12-08,0,0,0,0,
435,2003-12-09,0,0,0,0,
436,2003-12-10,9,1.874,0,0,
437,2003-12-11,1.2,0.598084,0,0,
438,2003-12-12,13,0.996807,0,0,
439,2003-12-13,0.6,0,0,0,
440,2003-12-14,2.8,0.598084,0,0,
441,2003-12-15,0,0,0,0,
442,2003-12-16,2.6,0.398723,0,0,
443,2003-12-17,3,1.19617,0,0,
444,2003-12-18,0.4,0,0,0,
445,2003-12-19,2.6,0.757573,0,0,
446,2003-12-20,0.6,0.199361,0,0,
447,2003-12-21,0,0,0,0,
448,2003-12-22,3.4,0.199361,0,0,
449,2003-12-23,11.2,4.14672,0,0,
450,2003-12-24,0,0.199361,0,0,
451,2003-12-25,0.4,1.1563,0,0,
452,2003-12-26,0,0,0,0,
453,2003-12-27,0,0,0,0,
454,2003-12-28,3,0.657892,0,0,
455,2003-12-29,18.4,4.70493,0,0,
456,2003-12-30,0.8,0.199361,0,0,
457,2003-12-31,0,0,0,0,
458,2004-01-01,1.2,1.47527,0,0,
459,2004-01-02,4,7.80319,8.8,8.8,
460,2004-01-03,0,0.320255,0.4,0.4,
461,2004-01-04,1.6,0.996807,0,0,
462,2004-01-05,3.6,1.79425,0,0,
463,2004-01-06,3.4,3.18978,0,0,
464,2004-01-07,8.2,0.398723,0,0,
465,2004-01-08,0.6,1.51962,1.4,1.4,
466,2004-01-09,0,0,0,0,
467,2004-01-10,0.4,0.797445,0,0,
468,2004-01-11,10.4,2.39234,0,0,
469,2004-01-12,5,0.758212,0.2,0.2,
470,2004-01-13,0.4,0,0,0,
471,2004-01-14,3.4,1.79425,0,0,
472,2004-01-15,0,0,0,0,
473,2004-01-16,0,0,0,0,
474,2004-01-17,2.6,1.05661,0,0,
475,2004-01-18,4.8,2.19297,0,0,
476,2004-01-19,1,0,0,0,
477,2004-01-20,0.4,0,0,0,
478,2004-01-21,9.4,3.38914,0,0,
479,2004-01-22,5.6,2.19297,0,0,
480,2004-01-23,0.8,0.398723,0,0,
481,2004-01-24,0.6,0,0,0,
482,2004-01-25,0,0,0,0,
483,2004-01-26,5,0.697765,0,0,
484,2004-01-27,4.8,2.69138,0,0,
485,2004-01-28,7.8,2.69138,0,0,
486,2004-01-29,2,1.19617,0,0,
487,2004-01-30,19.2,3.18978,0,0,
488,2004-01-31,7,0.797445,0,0,
489,2004-02-01,0,0,0,0,
490,2004-02-02,4,0.598084,0,0,
491,2004-02-03,2.8,0.199361,0,0,
492,2004-02-04,0.2,0.199361,0,0,
493,2004-02-05,1.2,0.398723,0,0,
494,2004-02-06,2.8,0.199361,0,0,
495,2004-02-07,0,0,0,0,
496,2004-02-08,0,0,0,0,
497,2004-02-09,1,0.199361,0,0,
498,2004-02-10,2,1.39553,0,0,
499,2004-02-11,0.4,0.199361,0,0,
500,2004-02-12,0.2,0,0,0,
501,2004-02-13,0,0,0,0,
502,2004-02-14,1.6,0.199361,0,0,
503,2004-02-15,0,0,0,0,
504,2004-02-16,0,0,0,0,
505,2004-02-17,0,0,0,0,
506,2004-02-18,0,0,0,0,
507,2004-02-19,0.4,0.0797445,0,0,
508,2004-02-20,6.4,3.74799,0,0,
509,2004-02-21,2.6,0.398723,0,0,
510,2004-02-22,0,0.160128,0.2,0.2,
511,2004-02-23,1.2,0.359489,0.2,0.2,
512,2004-02-24,0,0.160128,0.2,0.2,
513,2004-02-25,0,0,0,0,
514,2004-02-26,0,0,0,0,
515,2004-02-27,0,0,0,0,
516,2004-02-28,0,0,0,0,
517,2004-02-29,0,0,0,0,
518,2004-03-01,3,0.878467,0.4,0.4,
519,2004-03-02,0.6,2.08102,2.4,2.4,
520,2004-03-03,1,0,0,0,
521,2004-03-04,7.2,3.074,1.2,1.2,
522,2004-03-05,13.6,20.2051,21.8,21.8,
523,2004-03-06,0,0,0,0,
524,2004-03-07,7.8,5.32345,6.4,6.4,
525,2004-03-08,0,1.60128,2,2,
526,2004-03-09,0,1.60128,2,2,
527,2004-03-10,0,0,0,0,
528,2004-03-11,5.4,2.1177,1.4,1.4,
529,2004-03-12,3.6,1.19617,0,0,
530,2004-03-13,0,0,0,0,
531,2004-03-14,1.6,2.40192,3,3,
532,2004-03-15,0,0,0,0,
533,2004-03-16,4,1.79425,0,0,
534,2004-03-17,0.6,0.640511,0.8,0.8,
535,2004-03-18,0,0,0,0,
536,2004-03-19,0.8,0.119617,0,0,
537,2004-03-20,10,6.2823,7,7,
538,2004-03-21,0.2,0,0,0,
539,2004-03-22,1,0,0,0,
540,2004-03-23,4.4,0.718978,0.4,0.4,
541,2004-03-24,1.4,4.35566,3,3,
542,2004-03-25,6.6,3.19106,0.4,0.4,
543,2004-03-26,5.6,14.0868,16.2,16.2,
544,2004-03-27,0,0,0,0,
545,2004-03-28,0,0,0,0,
546,2004-03-29,13.4,3.51323,1.4,1.4,
547,2004-03-30,10.6,27.29,30.4,30.4,
548,2004-03-31,1.4,2.19936,2,2,
549,2004-04-01,0.8,3.00128,3.4,3.4,
550,2004-04-02,0,0.640511,0.8,0.8,
